_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
4.267e-01	4.267e-01	4.267e-01	1.422e-01	4.267e-01	1.422e-01	5.690e-01	4.267e-01	1.422e-01	5.690e-01	5.690e-01	2.845e-01	5.690e-01	1.422e-01	1.422e-01	4.267e-01	2.845e-01	2.845e-01	1.422e-01	5.690e-01
2.845e-01	2.845e-01	5.690e-01	4.267e-01	2.845e-01	4.267e-01	2.845e-01	5.690e-01	1.422e-01	4.267e-01	4.267e-01	1.422e-01	4.267e-01	0.000e+00	5.690e-01	2.845e-01	2.845e-01	2.845e-01	2.845e-01	2.845e-01
1.422e-01	4.267e-01	4.267e-01	2.845e-01	5.690e-01	4.267e-01	5.690e-01	5.690e-01	2.845e-01	4.267e-01	4.267e-01	1.422e-01	4.267e-01	1.422e-01	4.267e-01	2.845e-01	4.267e-01	2.845e-01	1.422e-01	4.267e-01
5.690e-01	1.422e-01	4.267e-01	1.422e-01	4.267e-01	2.845e-01	5.690e-01	4.267e-01	2.845e-01	2.845e-01	4.267e-01	2.845e-01	5.690e-01	2.845e-01	2.845e-01	2.845e-01	4.267e-01	1.422e-01	0.000e+00	5.690e-01
4.267e-01	1.422e-01	4.267e-01	1.422e-01	2.845e-01	4.267e-01	5.690e-01	2.845e-01	0.000e+00	2.845e-01	4.267e-01	1.422e-01	4.267e-01	0.000e+00	4.267e-01	1.422e-01	2.845e-01	2.845e-01	1.422e-01	2.845e-01
1.422e-01	5.690e-01	2.845e-01	1.422e-01	2.845e-01	4.267e-01	4.267e-01	2.845e-01	2.845e-01	4.267e-01	4.267e-01	2.845e-01	5.690e-01	1.422e-01	2.845e-01	1.422e-01	5.690e-01	4.267e-01	0.000e+00	5.690e-01
4.267e-01	1.422e-01	5.690e-01	4.267e-01	5.690e-01	4.267e-01	4.267e-01	4.267e-01	2.845e-01	2.845e-01	4.267e-01	1.422e-01	4.267e-01	5.690e-01	1.422e-01	4.267e-01	4.267e-01	2.845e-01	1.422e-01	5.690e-01
2.845e-01	4.267e-01	4.267e-01	2.845e-01	2.845e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	2.845e-01	2.845e-01	0.000e+00	4.267e-01	0.000e+00	4.267e-01	1.422e-01	2.845e-01	2.845e-01	1.422e-01	5.690e-01
5.690e-01	5.690e-01	5.690e-01	1.422e-01	5.690e-01	2.845e-01	5.690e-01	2.845e-01	2.845e-01	5.690e-01	2.845e-01	1.422e-01	4.267e-01	2.845e-01	5.690e-01	1.422e-01	1.422e-01	2.845e-01	1.422e-01	4.267e-01
2.845e-01	4.267e-01	4.267e-01	2.845e-01	2.845e-01	2.845e-01	4.267e-01	2.845e-01	1.422e-01	5.690e-01	2.845e-01	2.845e-01	5.690e-01	0.000e+00	2.845e-01	4.267e-01	4.267e-01	4.267e-01	2.845e-01	4.267e-01
5.690e-01	2.845e-01	4.267e-01	1.422e-01	4.267e-01	2.845e-01	2.845e-01	2.845e-01	1.422e-01	2.845e-01	2.845e-01	4.267e-01	5.690e-01	1.422e-01	2.845e-01	2.845e-01	1.422e-01	0.000e+00	0.000e+00	4.267e-01
