n.evals.q.1.0.	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.body.epistasis.avg.max
2.100e+03	3.750e-01	3.750e-01	3.750e-01	3.000e-01	2.500e-01	3.409e-01	2.500e-01	2.273e-01	2.833e-01	2.500e-01	2.273e-01	2.885e-01	2.500e-01	2.143e-01	2.500e-01	2.300e-01	2.100e-01	2.350e-01	9.250e-02	8.000e-02	1.100e-01	5.000e-02	3.750e-02	6.000e-02	2.250e-02	1.750e-02	2.750e-02	1.000e-02	5.000e-03	1.250e-02	3.750e-01	3.750e-01	3.750e-01	2.778e-01	2.500e-01	3.000e-01	2.500e-01	2.273e-01	2.885e-01	2.500e-01	2.273e-01	2.679e-01	2.500e-01	2.000e-01	2.857e-01	2.200e-01	2.125e-01	2.375e-01	9.500e-02	8.750e-02	1.050e-01	5.000e-02	4.000e-02	5.750e-02	2.250e-02	1.750e-02	3.250e-02	7.500e-03	5.000e-03	1.250e-02
2.200e+03	3.750e-01	3.750e-01	3.750e-01	3.000e-01	2.500e-01	3.409e-01	2.500e-01	2.273e-01	2.833e-01	2.500e-01	2.273e-01	2.917e-01	2.500e-01	2.143e-01	2.500e-01	2.275e-01	2.125e-01	2.400e-01	8.750e-02	7.750e-02	1.050e-01	5.000e-02	4.000e-02	6.000e-02	2.250e-02	1.750e-02	2.750e-02	1.000e-02	5.000e-03	1.250e-02	3.750e-01	3.750e-01	3.750e-01	3.000e-01	2.500e-01	3.000e-01	2.500e-01	2.273e-01	2.885e-01	2.500e-01	2.321e-01	2.885e-01	2.500e-01	2.143e-01	2.857e-01	2.200e-01	2.150e-01	2.350e-01	9.500e-02	8.750e-02	1.025e-01	5.000e-02	4.000e-02	6.000e-02	2.250e-02	1.750e-02	3.250e-02	7.500e-03	5.000e-03	1.250e-02
2.300e+03	3.750e-01	3.750e-01	3.750e-01	3.000e-01	2.500e-01	3.409e-01	2.708e-01	2.273e-01	2.857e-01	2.500e-01	2.273e-01	2.917e-01	2.500e-01	2.273e-01	2.750e-01	2.275e-01	2.150e-01	2.400e-01	8.500e-02	7.750e-02	1.050e-01	5.000e-02	4.000e-02	6.000e-02	2.250e-02	1.750e-02	3.000e-02	1.000e-02	7.500e-03	1.250e-02	3.750e-01	3.750e-01	3.750e-01	3.000e-01	2.500e-01	3.250e-01	2.500e-01	2.273e-01	2.885e-01	2.500e-01	2.321e-01	2.885e-01	2.500e-01	2.188e-01	2.885e-01	2.225e-01	2.150e-01	2.325e-01	9.750e-02	8.500e-02	1.025e-01	5.000e-02	4.250e-02	6.250e-02	2.250e-02	1.750e-02	3.250e-02	7.500e-03	5.000e-03	1.250e-02
2.400e+03	3.750e-01	3.750e-01	3.750e-01	3.000e-01	2.500e-01	3.409e-01	2.708e-01	2.273e-01	2.885e-01	2.500e-01	2.273e-01	2.917e-01	2.500e-01	2.273e-01	2.917e-01	2.275e-01	2.150e-01	2.425e-01	8.750e-02	7.750e-02	1.100e-01	4.750e-02	4.000e-02	6.000e-02	2.250e-02	1.750e-02	3.000e-02	1.000e-02	5.000e-03	1.250e-02	3.750e-01	3.750e-01	3.750e-01	3.000e-01	2.500e-01	3.250e-01	2.500e-01	2.273e-01	2.885e-01	2.500e-01	2.500e-01	2.885e-01	2.500e-01	2.188e-01	2.917e-01	2.225e-01	2.150e-01	2.350e-01	9.250e-02	8.750e-02	1.050e-01	5.250e-02	4.500e-02	6.250e-02	2.000e-02	1.500e-02	3.000e-02	1.000e-02	5.000e-03	1.250e-02
2.500e+03	3.750e-01	3.750e-01	3.750e-01	3.000e-01	3.000e-01	3.409e-01	2.708e-01	2.273e-01	2.885e-01	2.500e-01	2.273e-01	2.917e-01	2.500e-01	2.250e-01	2.885e-01	2.300e-01	2.150e-01	2.450e-01	8.500e-02	8.000e-02	1.100e-01	4.750e-02	3.500e-02	6.000e-02	2.000e-02	1.750e-02	3.000e-02	1.000e-02	5.000e-03	1.500e-02	3.750e-01	3.750e-01	3.750e-01	3.000e-01	2.500e-01	3.250e-01	2.500e-01	2.273e-01	2.885e-01	2.500e-01	2.500e-01	2.969e-01	2.500e-01	2.188e-01	3.000e-01	2.275e-01	2.100e-01	2.375e-01	9.500e-02	8.750e-02	1.000e-01	5.500e-02	4.500e-02	6.250e-02	2.000e-02	1.500e-02	2.750e-02	1.000e-02	5.000e-03	1.500e-02
2.600e+03	3.750e-01	3.750e-01	3.750e-01	3.000e-01	3.000e-01	3.409e-01	2.708e-01	2.273e-01	2.885e-01	2.500e-01	2.273e-01	2.917e-01	2.500e-01	2.250e-01	2.917e-01	2.300e-01	2.175e-01	2.450e-01	8.750e-02	8.000e-02	1.125e-01	4.500e-02	3.750e-02	6.000e-02	2.250e-02	1.750e-02	3.000e-02	1.000e-02	5.000e-03	1.500e-02	3.750e-01	3.750e-01	3.750e-01	3.000e-01	2.500e-01	3.409e-01	2.500e-01	2.273e-01	3.077e-01	2.500e-01	2.500e-01	3.000e-01	2.500e-01	2.188e-01	3.077e-01	2.275e-01	2.125e-01	2.400e-01	9.500e-02	8.500e-02	1.025e-01	5.000e-02	4.500e-02	6.250e-02	2.250e-02	1.500e-02	2.500e-02	1.000e-02	5.000e-03	1.500e-02
2.700e+03	3.750e-01	3.750e-01	3.750e-01	3.000e-01	3.000e-01	3.409e-01	2.708e-01	2.273e-01	2.885e-01	2.500e-01	2.500e-01	2.917e-01	2.500e-01	2.273e-01	3.000e-01	2.300e-01	2.150e-01	2.475e-01	9.000e-02	8.250e-02	1.100e-01	4.500e-02	3.500e-02	6.000e-02	2.250e-02	1.750e-02	3.000e-02	1.000e-02	5.000e-03	1.250e-02	3.750e-01	3.750e-01	3.750e-01	3.000e-01	2.778e-01	3.333e-01	2.500e-01	2.321e-01	3.077e-01	2.500e-01	2.500e-01	3.000e-01	2.500e-01	2.188e-01	3.088e-01	2.275e-01	2.125e-01	2.425e-01	9.750e-02	8.750e-02	1.075e-01	5.250e-02	3.750e-02	6.500e-02	2.250e-02	1.750e-02	2.500e-02	1.000e-02	5.000e-03	1.500e-02
2.800e+03	3.750e-01	3.750e-01	3.750e-01	3.000e-01	3.000e-01	3.409e-01	2.708e-01	2.273e-01	3.077e-01	2.500e-01	2.500e-01	2.917e-01	2.500e-01	2.273e-01	3.182e-01	2.275e-01	2.175e-01	2.475e-01	9.000e-02	7.750e-02	1.100e-01	4.500e-02	3.250e-02	5.750e-02	2.250e-02	1.500e-02	3.000e-02	1.000e-02	5.000e-03	1.500e-02	3.750e-01	3.750e-01	3.750e-01	3.000e-01	2.778e-01	3.333e-01	2.500e-01	2.273e-01	3.077e-01	2.500e-01	2.500e-01	3.000e-01	2.500e-01	2.188e-01	3.088e-01	2.300e-01	2.125e-01	2.450e-01	9.750e-02	8.750e-02	1.075e-01	5.000e-02	4.000e-02	6.250e-02	2.250e-02	1.500e-02	2.500e-02	1.000e-02	5.000e-03	1.500e-02
2.900e+03	3.750e-01	3.750e-01	3.750e-01	3.000e-01	3.000e-01	3.409e-01	2.708e-01	2.273e-01	3.077e-01	2.500e-01	2.500e-01	3.036e-01	2.500e-01	2.273e-01	2.917e-01	2.325e-01	2.150e-01	2.500e-01	9.000e-02	8.000e-02	1.075e-01	4.500e-02	3.250e-02	6.000e-02	2.000e-02	1.500e-02	3.000e-02	1.250e-02	5.000e-03	1.500e-02	3.750e-01	3.750e-01	3.750e-01	3.000e-01	2.778e-01	3.333e-01	2.656e-01	2.321e-01	3.077e-01	2.500e-01	2.500e-01	3.000e-01	2.500e-01	2.188e-01	3.088e-01	2.275e-01	2.150e-01	2.450e-01	9.500e-02	8.750e-02	1.075e-01	5.250e-02	3.750e-02	6.500e-02	2.000e-02	1.500e-02	2.500e-02	1.000e-02	5.000e-03	1.500e-02
3.000e+03	3.750e-01	3.750e-01	3.750e-01	3.250e-01	3.000e-01	3.409e-01	2.708e-01	2.273e-01	3.077e-01	2.500e-01	2.500e-01	3.077e-01	2.500e-01	2.273e-01	2.969e-01	2.350e-01	2.150e-01	2.475e-01	9.000e-02	8.000e-02	1.050e-01	4.500e-02	3.250e-02	5.750e-02	2.000e-02	1.500e-02	3.000e-02	1.250e-02	5.000e-03	2.000e-02	3.750e-01	3.750e-01	3.750e-01	3.250e-01	3.000e-01	3.409e-01	2.656e-01	2.500e-01	3.077e-01	2.500e-01	2.500e-01	3.000e-01	2.500e-01	2.188e-01	3.088e-01	2.275e-01	2.125e-01	2.450e-01	9.750e-02	8.750e-02	1.075e-01	5.250e-02	4.000e-02	6.500e-02	2.000e-02	1.500e-02	2.500e-02	1.000e-02	5.000e-03	1.500e-02
3.100e+03	3.750e-01	3.750e-01	3.750e-01	3.250e-01	3.000e-01	3.409e-01	2.708e-01	2.273e-01	3.077e-01	2.500e-01	2.500e-01	3.077e-01	2.500e-01	2.273e-01	2.917e-01	2.350e-01	2.150e-01	2.500e-01	9.000e-02	8.000e-02	1.050e-01	4.500e-02	3.500e-02	5.750e-02	2.000e-02	1.500e-02	3.000e-02	1.250e-02	5.000e-03	2.000e-02	3.750e-01	3.750e-01	3.750e-01	3.250e-01	3.000e-01	3.409e-01	2.708e-01	2.321e-01	3.077e-01	2.500e-01	2.500e-01	2.885e-01	2.500e-01	2.188e-01	3.077e-01	2.275e-01	2.125e-01	2.450e-01	9.750e-02	9.000e-02	1.050e-01	5.250e-02	3.750e-02	6.250e-02	2.000e-02	1.750e-02	2.500e-02	1.000e-02	5.000e-03	1.250e-02
3.200e+03	3.750e-01	3.750e-01	3.750e-01	3.250e-01	3.000e-01	3.409e-01	2.708e-01	2.273e-01	3.077e-01	2.500e-01	2.500e-01	3.214e-01	2.500e-01	2.273e-01	2.917e-01	2.275e-01	2.150e-01	2.525e-01	9.000e-02	8.000e-02	1.050e-01	4.500e-02	3.250e-02	5.750e-02	2.000e-02	1.500e-02	3.000e-02	1.250e-02	5.000e-03	2.000e-02	3.750e-01	3.750e-01	3.750e-01	3.250e-01	3.000e-01	3.409e-01	2.708e-01	2.500e-01	3.077e-01	2.500e-01	2.500e-01	3.077e-01	2.500e-01	2.250e-01	3.077e-01	2.275e-01	2.175e-01	2.450e-01	9.750e-02	9.000e-02	1.100e-01	5.250e-02	3.750e-02	6.500e-02	2.000e-02	1.750e-02	2.500e-02	1.000e-02	5.000e-03	1.250e-02
3.300e+03	3.750e-01	3.750e-01	3.750e-01	3.250e-01	3.000e-01	3.409e-01	2.708e-01	2.273e-01	3.077e-01	2.500e-01	2.500e-01	3.214e-01	2.500e-01	2.273e-01	2.917e-01	2.300e-01	2.100e-01	2.525e-01	9.000e-02	8.250e-02	1.075e-01	4.750e-02	3.500e-02	5.750e-02	2.000e-02	1.500e-02	3.000e-02	1.250e-02	5.000e-03	2.000e-02	3.750e-01	3.750e-01	3.750e-01	3.250e-01	3.000e-01	3.409e-01	2.857e-01	2.500e-01	3.077e-01	2.500e-01	2.500e-01	3.077e-01	2.500e-01	2.273e-01	3.088e-01	2.275e-01	2.125e-01	2.400e-01	9.500e-02	9.000e-02	1.075e-01	5.250e-02	4.000e-02	6.000e-02	2.000e-02	1.750e-02	2.500e-02	1.000e-02	5.000e-03	1.250e-02
3.400e+03	3.750e-01	3.750e-01	3.750e-01	3.250e-01	3.000e-01	3.409e-01	2.708e-01	2.273e-01	3.077e-01	2.500e-01	2.500e-01	3.214e-01	2.500e-01	2.273e-01	2.917e-01	2.325e-01	2.150e-01	2.525e-01	9.250e-02	8.250e-02	1.075e-01	4.500e-02	3.500e-02	5.750e-02	2.000e-02	1.500e-02	3.250e-02	1.250e-02	7.500e-03	2.000e-02	3.750e-01	3.750e-01	3.750e-01	3.250e-01	3.000e-01	3.409e-01	2.857e-01	2.500e-01	3.077e-01	2.500e-01	2.500e-01	3.088e-01	2.500e-01	2.273e-01	3.088e-01	2.300e-01	2.150e-01	2.375e-01	9.750e-02	9.000e-02	1.075e-01	5.500e-02	4.000e-02	6.000e-02	2.000e-02	1.750e-02	2.250e-02	1.000e-02	5.000e-03	1.250e-02
3.500e+03	3.750e-01	3.750e-01	3.750e-01	3.250e-01	3.000e-01	3.409e-01	2.833e-01	2.273e-01	3.077e-01	2.500e-01	2.500e-01	3.214e-01	2.500e-01	2.273e-01	3.077e-01	2.350e-01	2.150e-01	2.525e-01	9.250e-02	8.250e-02	1.025e-01	4.250e-02	3.500e-02	6.250e-02	2.250e-02	1.500e-02	3.500e-02	1.250e-02	5.000e-03	2.000e-02	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.857e-01	2.500e-01	3.077e-01	2.500e-01	2.500e-01	3.088e-01	2.500e-01	2.273e-01	3.088e-01	2.275e-01	2.175e-01	2.350e-01	9.750e-02	9.000e-02	1.050e-01	5.500e-02	4.000e-02	6.000e-02	2.000e-02	1.500e-02	2.250e-02	7.500e-03	5.000e-03	1.250e-02
3.600e+03	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.833e-01	2.273e-01	3.077e-01	2.500e-01	2.500e-01	3.214e-01	2.500e-01	2.273e-01	2.969e-01	2.325e-01	2.150e-01	2.550e-01	9.500e-02	8.000e-02	1.025e-01	4.250e-02	3.500e-02	6.500e-02	2.250e-02	1.500e-02	3.500e-02	1.000e-02	5.000e-03	2.000e-02	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.857e-01	2.500e-01	3.088e-01	2.692e-01	2.500e-01	3.088e-01	2.833e-01	2.500e-01	3.088e-01	2.250e-01	2.150e-01	2.325e-01	9.750e-02	9.000e-02	1.075e-01	5.250e-02	3.750e-02	6.250e-02	2.000e-02	1.500e-02	2.500e-02	1.000e-02	5.000e-03	1.250e-02
3.700e+03	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.833e-01	2.273e-01	3.077e-01	2.500e-01	2.500e-01	3.214e-01	2.500e-01	2.273e-01	3.077e-01	2.325e-01	2.150e-01	2.550e-01	9.500e-02	7.750e-02	1.050e-01	4.250e-02	3.750e-02	6.500e-02	2.250e-02	1.750e-02	3.500e-02	1.000e-02	5.000e-03	1.750e-02	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.885e-01	2.500e-01	3.088e-01	2.692e-01	2.500e-01	3.088e-01	2.833e-01	2.500e-01	3.088e-01	2.250e-01	2.150e-01	2.325e-01	9.750e-02	8.750e-02	1.050e-01	5.250e-02	3.750e-02	6.000e-02	2.000e-02	1.750e-02	2.500e-02	1.000e-02	5.000e-03	1.250e-02
3.800e+03	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.885e-01	2.500e-01	3.077e-01	2.500e-01	2.500e-01	3.214e-01	2.727e-01	2.500e-01	3.088e-01	2.275e-01	2.150e-01	2.550e-01	9.500e-02	8.000e-02	1.075e-01	4.500e-02	3.750e-02	6.250e-02	2.500e-02	1.750e-02	3.500e-02	1.000e-02	7.500e-03	1.750e-02	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.885e-01	2.500e-01	3.214e-01	2.885e-01	2.500e-01	3.088e-01	2.833e-01	2.500e-01	3.214e-01	2.250e-01	2.125e-01	2.325e-01	9.750e-02	9.000e-02	1.075e-01	5.000e-02	4.250e-02	6.250e-02	2.000e-02	1.750e-02	2.750e-02	1.000e-02	7.500e-03	1.250e-02
3.900e+03	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.885e-01	2.500e-01	3.077e-01	2.500e-01	2.500e-01	3.214e-01	2.885e-01	2.500e-01	3.088e-01	2.300e-01	2.150e-01	2.550e-01	9.500e-02	8.000e-02	1.050e-01	4.500e-02	3.500e-02	6.500e-02	2.500e-02	1.750e-02	3.500e-02	1.000e-02	7.500e-03	1.750e-02	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.885e-01	2.500e-01	3.214e-01	2.885e-01	2.500e-01	3.088e-01	2.885e-01	2.500e-01	3.214e-01	2.250e-01	2.150e-01	2.325e-01	9.500e-02	8.750e-02	1.075e-01	5.250e-02	4.250e-02	6.250e-02	2.250e-02	1.750e-02	2.750e-02	1.000e-02	7.500e-03	1.250e-02
4.000e+03	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.885e-01	2.500e-01	3.125e-01	2.500e-01	2.500e-01	3.214e-01	2.885e-01	2.500e-01	3.125e-01	2.300e-01	2.125e-01	2.525e-01	9.500e-02	8.250e-02	1.075e-01	4.500e-02	3.250e-02	6.250e-02	2.750e-02	1.750e-02	3.500e-02	1.250e-02	7.500e-03	1.500e-02	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.885e-01	2.500e-01	3.214e-01	2.969e-01	2.500e-01	3.214e-01	2.917e-01	2.500e-01	3.250e-01	2.250e-01	2.100e-01	2.300e-01	9.500e-02	8.750e-02	1.050e-01	5.250e-02	4.250e-02	6.250e-02	2.250e-02	1.500e-02	2.500e-02	1.000e-02	5.000e-03	1.250e-02
4.100e+03	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.885e-01	2.500e-01	3.214e-01	2.679e-01	2.500e-01	3.214e-01	2.885e-01	2.500e-01	3.214e-01	2.350e-01	2.125e-01	2.550e-01	9.000e-02	8.250e-02	1.050e-01	4.750e-02	3.250e-02	6.250e-02	2.750e-02	1.500e-02	3.500e-02	1.250e-02	7.500e-03	1.750e-02	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.885e-01	2.500e-01	3.214e-01	3.077e-01	2.500e-01	3.214e-01	3.000e-01	2.500e-01	3.250e-01	2.275e-01	2.100e-01	2.350e-01	9.750e-02	8.500e-02	1.075e-01	5.500e-02	4.250e-02	6.250e-02	2.250e-02	1.500e-02	2.500e-02	7.500e-03	5.000e-03	1.250e-02
4.200e+03	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.885e-01	2.500e-01	3.214e-01	2.500e-01	2.500e-01	3.214e-01	2.917e-01	2.500e-01	3.214e-01	2.375e-01	2.125e-01	2.500e-01	9.250e-02	8.250e-02	1.075e-01	4.500e-02	3.500e-02	6.000e-02	2.500e-02	1.500e-02	3.250e-02	1.250e-02	7.500e-03	1.750e-02	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.885e-01	2.500e-01	3.214e-01	3.077e-01	2.500e-01	3.214e-01	3.000e-01	2.500e-01	3.250e-01	2.275e-01	2.100e-01	2.325e-01	9.750e-02	8.750e-02	1.075e-01	5.500e-02	4.500e-02	6.000e-02	2.250e-02	1.500e-02	2.750e-02	1.000e-02	5.000e-03	1.250e-02
4.300e+03	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	3.000e-01	2.500e-01	3.214e-01	2.500e-01	2.500e-01	3.214e-01	3.000e-01	2.500e-01	3.214e-01	2.350e-01	2.125e-01	2.500e-01	9.250e-02	8.500e-02	1.050e-01	5.000e-02	3.500e-02	6.000e-02	2.500e-02	1.250e-02	3.250e-02	1.250e-02	7.500e-03	1.750e-02	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.885e-01	2.500e-01	3.214e-01	3.077e-01	2.500e-01	3.214e-01	3.000e-01	2.500e-01	3.235e-01	2.300e-01	2.125e-01	2.350e-01	9.500e-02	8.750e-02	1.075e-01	5.500e-02	4.500e-02	6.250e-02	2.000e-02	1.500e-02	2.750e-02	7.500e-03	5.000e-03	1.250e-02
4.400e+03	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	3.000e-01	2.500e-01	3.214e-01	2.500e-01	2.500e-01	3.214e-01	3.000e-01	2.500e-01	3.214e-01	2.350e-01	2.150e-01	2.525e-01	9.250e-02	8.250e-02	1.075e-01	5.000e-02	3.500e-02	5.750e-02	2.500e-02	1.500e-02	3.250e-02	1.250e-02	5.000e-03	2.000e-02	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.885e-01	2.500e-01	3.214e-01	3.077e-01	2.500e-01	3.214e-01	3.000e-01	2.500e-01	3.214e-01	2.275e-01	2.125e-01	2.325e-01	9.500e-02	8.750e-02	1.075e-01	5.750e-02	4.750e-02	6.250e-02	2.000e-02	1.500e-02	2.750e-02	1.000e-02	5.000e-03	1.250e-02
4.500e+03	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	3.000e-01	2.500e-01	3.214e-01	2.500e-01	2.500e-01	3.214e-01	2.969e-01	2.500e-01	3.214e-01	2.350e-01	2.100e-01	2.525e-01	9.500e-02	8.250e-02	1.075e-01	4.750e-02	3.500e-02	5.750e-02	2.500e-02	1.500e-02	3.000e-02	1.250e-02	5.000e-03	2.000e-02	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.885e-01	2.500e-01	3.214e-01	3.088e-01	2.500e-01	3.214e-01	3.000e-01	2.500e-01	3.214e-01	2.250e-01	2.150e-01	2.325e-01	9.500e-02	8.750e-02	1.075e-01	5.750e-02	4.750e-02	6.000e-02	2.250e-02	1.750e-02	2.500e-02	1.000e-02	5.000e-03	1.250e-02
4.600e+03	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	3.000e-01	2.500e-01	3.214e-01	2.500e-01	2.500e-01	3.214e-01	2.969e-01	2.500e-01	3.214e-01	2.375e-01	2.100e-01	2.575e-01	9.500e-02	8.000e-02	1.050e-01	4.750e-02	3.500e-02	6.000e-02	2.500e-02	1.500e-02	3.000e-02	1.250e-02	5.000e-03	2.000e-02	3.750e-01	3.750e-01	3.750e-01	3.409e-01	3.000e-01	3.409e-01	2.885e-01	2.500e-01	3.333e-01	3.088e-01	2.500e-01	3.214e-01	3.000e-01	2.500e-01	3.214e-01	2.250e-01	2.125e-01	2.375e-01	9.250e-02	8.750e-02	1.050e-01	5.750e-02	4.750e-02	6.000e-02	2.250e-02	1.750e-02	2.500e-02	1.000e-02	5.000e-03	1.250e-02
