n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.avg.max
2.300e+03	4.040e-01	3.895e-01	4.121e-01	3.219e-01	3.071e-01	3.310e-01	2.021e-01	1.957e-01	2.031e-01
2.400e+03	4.038e-01	3.883e-01	4.152e-01	3.229e-01	3.050e-01	3.312e-01	2.010e-01	1.974e-01	2.033e-01
2.500e+03	4.062e-01	3.921e-01	4.155e-01	3.233e-01	3.048e-01	3.317e-01	2.019e-01	1.964e-01	2.038e-01
2.600e+03	4.076e-01	3.917e-01	4.167e-01	3.245e-01	2.993e-01	3.314e-01	2.021e-01	1.962e-01	2.043e-01
2.700e+03	4.040e-01	3.883e-01	4.174e-01	3.262e-01	2.967e-01	3.305e-01	2.029e-01	1.929e-01	2.052e-01
2.800e+03	4.038e-01	3.881e-01	4.176e-01	3.240e-01	2.988e-01	3.324e-01	2.038e-01	1.933e-01	2.067e-01
2.900e+03	4.031e-01	3.855e-01	4.207e-01	3.271e-01	2.962e-01	3.338e-01	2.024e-01	1.933e-01	2.074e-01
3.000e+03	4.090e-01	3.857e-01	4.221e-01	3.255e-01	2.943e-01	3.340e-01	1.993e-01	1.924e-01	2.083e-01
3.100e+03	4.110e-01	3.838e-01	4.212e-01	3.257e-01	2.962e-01	3.340e-01	1.988e-01	1.936e-01	2.088e-01
3.200e+03	4.126e-01	3.817e-01	4.198e-01	3.233e-01	2.967e-01	3.340e-01	1.971e-01	1.929e-01	2.088e-01
3.300e+03	4.110e-01	3.812e-01	4.188e-01	3.219e-01	2.964e-01	3.319e-01	1.971e-01	1.912e-01	2.067e-01
3.400e+03	4.090e-01	3.826e-01	4.179e-01	3.236e-01	2.945e-01	3.314e-01	1.976e-01	1.926e-01	2.067e-01
3.500e+03	4.100e-01	3.814e-01	4.164e-01	3.262e-01	2.938e-01	3.321e-01	1.990e-01	1.879e-01	2.071e-01
3.600e+03	4.100e-01	3.800e-01	4.157e-01	3.271e-01	2.960e-01	3.336e-01	1.979e-01	1.879e-01	2.050e-01
3.700e+03	4.095e-01	3.779e-01	4.160e-01	3.279e-01	2.964e-01	3.355e-01	1.976e-01	1.881e-01	2.055e-01
3.800e+03	4.095e-01	3.767e-01	4.169e-01	3.276e-01	2.929e-01	3.379e-01	2.007e-01	1.876e-01	2.057e-01
3.900e+03	4.090e-01	3.760e-01	4.152e-01	3.257e-01	2.924e-01	3.374e-01	2.017e-01	1.857e-01	2.057e-01
4.000e+03	4.079e-01	3.726e-01	4.138e-01	3.250e-01	2.902e-01	3.371e-01	2.005e-01	1.883e-01	2.043e-01
4.100e+03	4.064e-01	3.683e-01	4.143e-01	3.224e-01	2.895e-01	3.405e-01	1.990e-01	1.890e-01	2.026e-01
4.200e+03	4.057e-01	3.676e-01	4.155e-01	3.200e-01	2.869e-01	3.443e-01	2.000e-01	1.876e-01	2.033e-01
4.300e+03	4.040e-01	3.688e-01	4.162e-01	3.205e-01	2.838e-01	3.433e-01	2.014e-01	1.871e-01	2.043e-01
4.400e+03	4.031e-01	3.676e-01	4.162e-01	3.193e-01	2.826e-01	3.460e-01	2.014e-01	1.860e-01	2.057e-01
4.500e+03	4.029e-01	3.671e-01	4.176e-01	3.179e-01	2.824e-01	3.438e-01	2.014e-01	1.840e-01	2.040e-01
4.600e+03	4.026e-01	3.664e-01	4.171e-01	3.188e-01	2.831e-01	3.462e-01	2.038e-01	1.807e-01	2.048e-01
4.700e+03	4.033e-01	3.660e-01	4.162e-01	3.186e-01	2.779e-01	3.481e-01	2.031e-01	1.776e-01	2.045e-01
4.800e+03	4.031e-01	3.652e-01	4.171e-01	3.162e-01	2.790e-01	3.474e-01	2.019e-01	1.779e-01	2.036e-01
4.900e+03	4.026e-01	3.617e-01	4.164e-01	3.148e-01	2.781e-01	3.474e-01	2.012e-01	1.764e-01	2.043e-01
5.000e+03	4.014e-01	3.598e-01	4.162e-01	3.143e-01	2.781e-01	3.474e-01	2.017e-01	1.717e-01	2.043e-01
5.100e+03	3.998e-01	3.586e-01	4.169e-01	3.148e-01	2.757e-01	3.490e-01	2.012e-01	1.717e-01	2.057e-01
5.200e+03	3.983e-01	3.574e-01	4.169e-01	3.124e-01	2.760e-01	3.500e-01	1.986e-01	1.693e-01	2.081e-01
5.300e+03	3.976e-01	3.576e-01	4.162e-01	3.138e-01	2.774e-01	3.498e-01	1.986e-01	1.707e-01	2.107e-01
5.400e+03	3.976e-01	3.574e-01	4.162e-01	3.148e-01	2.731e-01	3.507e-01	1.990e-01	1.714e-01	2.110e-01
5.500e+03	3.943e-01	3.579e-01	4.160e-01	3.136e-01	2.729e-01	3.510e-01	1.979e-01	1.693e-01	2.090e-01
5.600e+03	3.933e-01	3.581e-01	4.145e-01	3.150e-01	2.719e-01	3.514e-01	1.971e-01	1.693e-01	2.086e-01
5.700e+03	3.936e-01	3.586e-01	4.167e-01	3.164e-01	2.717e-01	3.543e-01	1.960e-01	1.688e-01	2.105e-01
