x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.arena.coverage.10x10.	progress.rate.q.0.05.0.10.quality.behavior.quality.arena.coverage.10x10.	progress.rate.q.0.05.0.25.quality.behavior.quality.arena.coverage.10x10.	progress.rate.q.0.05.0.50.quality.behavior.quality.arena.coverage.10x10.	progress.rate.q.0.05.1.00.quality.behavior.quality.arena.coverage.10x10.
0	0	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan
0	3	nan	nan	nan	nan	nan
0	4	nan	nan	nan	nan	nan
0	5	nan	nan	nan	nan	nan
0	6	2.200e-01	3.600e-01	3.700e-01	4.100e-01	4.400e-01
0	7	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan
1	4	nan	nan	nan	nan	nan
1	5	nan	nan	nan	nan	nan
1	6	1.900e-01	3.700e-01	3.800e-01	4.600e-01	4.600e-01
1	7	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan
2	4	nan	nan	nan	nan	nan
2	5	nan	nan	nan	nan	nan
2	6	1.300e-01	3.700e-01	4.000e-01	4.400e-01	4.500e-01
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	nan
3	4	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan
3	6	1.100e-01	2.600e-01	4.100e-01	4.300e-01	4.300e-01
3	7	nan	nan	nan	nan	nan
